name,rating,text,date
Abigail Anama,5 stars,A very good experience. Their services is top-notch. I highly recommend.,7 months ago
Oma Joseph,5 stars,"Intelligent Doctor, friendly nurse ,very efficient and attentive, no delays, always feel better after every visit...they know what they are doing.
Only problem is they don't operate 247. I highly recommend Mascot.",a year ago
Toyosi Akanbi,5 stars,I like the fact that the doctor was so attentive to my complaints and the nurse was so careful when treating and was always smiling throughout the treatment. Even the receptionist was nice.,a year ago
Tanshuai Dave,5 stars,sir you are like a savior honestly am perfectly ok now thanks and God bless keep the good work going ❤️🙌🏼 …,8 months ago
Mishelle Agbasi,5 stars,"Exceptional care at Mascot Healthcare Clinic! The staff are warm and welcoming, and the doctor takes his time to explain every detail. Highly recommended!",a year ago
Arielle Coker,4 stars,"Ohhh so i randomly found, this spot when I wanted to run some routine blood tests ,and although it was a just a tiny bit unfamiliar to me as a first timer in the area, it wasn't bad, the staffs where pretty chilled and they were …",a year ago
Victor Amadi Emina,5 stars,"Excellent and professional in their services they deserve recognition, recommendations and referrals",8 months ago
Tommy Jammy,5 stars,"The doctor was very nice and helpful, and environment was very serene, and the nurse was very kind. I highly recommend.",a year ago
Onu Uchenna Paschal,5 stars,"Mascot Healthcare Clinic is your best place to get a professional and quality healthcare and lab tests here in Nigeria.
Highly recommended!
Keep up your good works!",a year ago
Talabi oluwatoyin,3 stars,"Quick and prompt delivery, attention to details and a good responsive manner to clients....... A warm experience all through.",7 months ago
Mercy Adegbamigbe,5 stars,"The service was great, the nurses are nice, and the Doctor was very intelligent and efficient.",9 months ago
AGBOR GRACIOUS,5 stars,"Swift in attending to patients, staff are very  polite and readily available.",7 months ago
Oluseye Akerele,5 stars,"Amazing clinic, they know exactly what they’re doing there👌 …",7 months ago
Beloved,5 stars,"Very professional staff
A good hospital I must say",7 months ago
Omolara Olanibukun,5 stars,Had a great experience here. Swift services and great support.,6 months ago
Teniola Omosowon,5 stars,"The doctor is intelligent ,I must say his different what have being treating since last year on  going there  after explaining even before I finish explaining he said more about I feel …",a year ago
Janice “JaniKoks” Beatz,4 stars,I was pregnant with my second baby and kept leaking liqueur. I sha went there every other day and the staff were always so pleasant and friendly. The sonologist always took his time in explaining the situation and putting my mind at peace. …,Edited a year ago
Akinyemi Kehinde,5 stars,I enjoyed the service and it's topnotch,3 months ago
Ogiefo Osagie,5 stars,"Got the best medical care from here, recommendation was 100%",8 months ago
alabi oluwatunmininu,5 stars,Everyone was nice and professional. Doctor was very calm and nice. Their service in general was top notch and their fees are affordable.,a year ago
Nmesoma Kalu,5 stars,"The doctor is very patient, understanding and listened to every detail of what the problem is all about
He will always take his time to tell you what you need to do even at your budget …",a year ago
Aham Obilor TM,5 stars,"They prescribe perfect drugs to tackle any health challenge.
I recommend them.",8 months ago
MOHAMMED SALAMATU SAKPE,5 stars,"I went for scan today and I must say,there services is top notch.from the receptionist to the doctor very friendly,with detailed explanations.na only God go bless una,I wish I found you people sooner.i forgot to add that they fees is very affordable.",a year ago
Ademola Mayowa Joseph,5 stars,"Health care at its best with warmth reception, budget friendly services.",7 months ago
Israel Ola-Olorun,5 stars,"Mascot Healthcare is the best place to get quality healthcare and ultrasound scans in Lagos.  They are fast, detailed and efficient. Thumbs up to them!",a year ago
Gbemisola Ruqqoyah,5 stars,"I highly recommend Mascot Health Care. Their services are affordable, and the staff are friendly and professional. A great place to receive quality  health care.",a year ago
Ezugwu Abigail,5 stars,The services I got was satisfying,3 months ago
Phoenix Shed-Okara,5 stars,Amazing and professional service…very friendly nurses too,10 months ago
Alfred Daboner,5 stars,Did a Healthcheck and everything went smooth,5 months ago
Ashabi Showunmi,5 stars,Very excellent service. Nurses are friendly and accommodating too.,a year ago
FRIDAY OKO,4 stars,Mascot healthcare clinic brings quality healthcare services to your door step. They are just a click away.,a year ago
Rodiat Akanbi,5 stars,"Fantastic services
Cool and Comfortable space
The doctor is very patient and professional
The nurses are nice and friendly as well. 👍 …",a year ago
Azeez Olanlokun,5 stars,A Top quality clinic. Professional personnells. Great service. I highly recommend.,a year ago
Damilola Titilayo Taiwo,5 stars,Warm reception and great doctor. I loved their services,a year ago
Femi Oladipo,5 stars,The service was swift and I like that the Doctor took his time to fully explain the procedure and options available. That's the first time a medical professional did that for me,2 years ago
Femi Oladipo,5 stars,What I liked most about this clinic was that they actually care about you unlike many other hospitals I've been to,Edited a year ago
Yahya Usman,5 stars,It's good having my GENOTYPE gere,7 months ago
Mistura Opeyemi,5 stars,Short waiting time and fast service 💯 …,6 months ago
Coded Jay,5 stars,Thank you so much mascot for your care. I really appreciate the time and attention you gave me. It made a big difference,a year ago
mustapha Horlamide,5 stars,"If people believe they share values with a company, they will stay loyal to the brand. Mascot digital Healthcare is the best.... *Satisfied*",2 years ago
oyin,5 stars,The staff were so pleasant and friendly. The Doctor took his time in explaining the report.,a year ago
john philemon,5 stars,"This a reliable pls for medical services, 💯 …",7 months ago
Blessing Nwosu,5 stars,"I love Mascot Health Clinic because they takes good care of you
Your good health is their pride",a year ago
Racheal real,5 stars,They were very nice and professional! No long queue and very accommodating,a year ago
omolola lorlah,5 stars,The best clinic I have visited so far is in Lagos. All the staff are professional in their job.,a year ago
Fatihat Bamgbola,5 stars,"The doctor was helpful, their services were fast , the digital healthcare was seem less, I was well attended to and everything was well coordinated",2 years ago
Sanni Tajudeen O.,5 stars,A top-notch hospital. Great service.,7 months ago
Funmi Emmanuel,5 stars,My experience here was absolutely amazing.,7 months ago
Olajide Temitayo,5 stars,"The doctor was really helpful and amazing, the digital healthcare was swift and flexible .. the services were exceptional and great",2 years ago
Ifeoluwa Omosule,5 stars,Best health services always rendered here,7 months ago
Favour Chinweoke,5 stars,This is one of the best clinics I’ve been to! I recommend 100%,a year ago
Elizabeth Patrick,5 stars,"Their services are top notch..I had an effective, Wonderful , helpful and exceptional medical experience..👍👍👍 …",2 years ago
Adeyemi Qodri,5 stars,It's a really great hospital I have been there and they give out really good service👍 I really recommend u go there 🤠 …,2 years ago
Makindé Christiana,5 stars,"I recommend this clinic 100%, the welcome, the staff and the doctors are so caring.",a year ago
Elizabeth Nwabuzor,5 stars,Excellent service!!!! I will recommend ✅👍 …,7 months ago
Akanbi Helen,5 stars,"Nice services,  had a pelvic scan,  malaria and typhoid test done. Treatment was affordable too .",Edited a year ago
Temmy Idowu,5 stars,"polite staff, idk, y’all were really great",8 months ago
Gbemisola Fadahunsi,5 stars,I was extremely impressed with the level of care I received. The digital healthcare was seemless and very helpful,2 years ago
AGBOJO BOLUWATIFE,5 stars,Great service!...The doctor was really helpful and their service is quite affordable.,2 years ago
Aminat Ayantola,5 stars,The doctor was really helpful and attentive. The service was top-notch.,2 years ago
Khadijat Omobolanle,5 stars,"Very Friendly, Kind and Confidential service. Without question a wonderful experience that resonates patient care. Thanks Doc",2 years ago
LAWAL WASILAT,5 stars,"It was a great experience been at mascot health care twice, allihammudulilai for the wonderful care I got,",2 years ago
Charity King,5 stars,Homely treatment. A very nice place to be.,11 months ago
Mercy Iduh,5 stars,Excellent services,2 months ago
Oluwafeyikemi Willoughby,5 stars,Good customer care support ❤️,8 months ago
Olamide Dabira,5 stars,Very cool and nice workers,7 months ago
shittu waliyah,5 stars,I got a swift response with mascot healthcare and it was so helpful. I recommend 💯 …,2 years ago
KADIJAT EGBENEYE,5 stars,I was impressed by their top notch Professionalism.,a year ago
Aishah Zakariyah,5 stars,"They know their onions and their services are timely, i’d definitely recommend.",2 years ago
Keith Urban,5 stars,Great reception and nice workers as well 🫶🏿 …,a year ago
abimbola thomas,5 stars,The service is excellent and very satisfying,a year ago
Ozioma Osuji,5 stars,Excellent service,3 months ago
Habeeb Opeyemi,5 stars,"The consultation was fast, professional and top-notch!",Edited 7 months ago
olateju ismail,5 stars,Nice place to seek for health care,7 months ago
oluwasanjo Egbewunmi,5 stars,Wonderful experience,5 months ago
Ijirotimi Gbenga,5 stars,Good and nice service,7 months ago
Halimat Usman Ademola,4 stars,Their services are top notched and rendered seamlessly 💯 …,2 years ago
Olufunmilola Ajayi,5 stars,Top notch services,6 months ago
Fatimah Morebiyo Lawal,5 stars,Got my ultrasound explanation and recommendation on time. Nice !,2 years ago
Awe Oluwaseun,5 stars,It was good and welcoming.  Hospitable too,a year ago
Omolara Adisa,5 stars,They provide a good and professional service,Edited a year ago
Monday Julius Odey,5 stars,"Scheduled a teleconsultation witn a doctor and was promptly attended to, fair services.",Edited 7 months ago
Ismail Hajara,4 stars,Had some few questions that was attended to. The customer care tried,2 years ago
Greatness,5 stars,Great Professional service,8 months ago
Soyemi Adedoyin,5 stars,The healthcare was so seamless and adequate treatment where given 😊 …,2 years ago
Dunni Adetoba,5 stars,Great health care service,a year ago
Adelowo Adetola,5 stars,Very lovely and wounderful experience c,2 years ago
Hassan Bello,5 stars,The medical team demonstrated exceptional expertise and compassion.,2 years ago
Soyemi Boluwatife,5 stars,Nice and good in their field,a year ago
Faith Seun,5 stars,Very very professional. I recommend.,a year ago
Timilehin Okunlola,5 stars,👏 …,a year ago
Emmanuel Oladimeji,5 stars,Top tier! Attended to me immediately with a response.,2 years ago
Hajarat Omoladun,5 stars,Fast and Excellent Service,a year ago
Vivian Sunday,5 stars,Service was excellent,9 months ago
Rilwan,5 stars,Very good service,a year ago
SALAMOT JIMOH,5 stars,The digital health care was seem less!!,2 years ago
Badmus Olawunmi,5 stars,Fast and reliable ❤️,a year ago
OSUNTOYINBO FUNMILOLA,5 stars,Great service,a year ago
ismael orougoura,5 stars,I felt listened,Edited a year ago
Mary Abayomi,5 stars,Very promising innovation.,Edited 7 months ago
Oyelakin Muhammad Toha,5 stars,Seamless services,7 months ago
Titilayo damilola Akintoye,5 stars,Good service,a year ago
Fakiyesi Damilare,5 stars,Nice Doctor,a year ago
Only_wura,5 stars,Excellent,a year ago
Mogaji Muftau,5 stars,I was well attended to.,2 years ago
Rebecca Idowu,5 stars,It was okay,a year ago
Mercy Abioye,5 stars,It was nice.,2 years ago
Krystal Rodman,4 stars,Nice session,2 years ago
Lawrence Ijiyera,5 stars,Excellent,2 years ago
alabi farwherz,5 stars,it was really good and simple,4 weeks ago
Tunde Scribe,5 stars,"Great place. I love the service. Staff were courteous. I wasn't put on hold for a long time. Doctor Lawal was very attentive and listened to my complaints. I have excess wax in my ears that had blocked it. It was removed, I was given ear …",a month ago
Wisdom Williams,5 stars,"Top notch service,",3 months ago
Kazia Akpore,5 stars,"The staff is amazing and polite. Excellent service and the doctor is so attentive and kind.
I rarely leave reviews but I highly recommend this place",3 months ago
David Mboko,5 stars,,3 weeks ago
Joy Dupe,5 stars,,3 months ago
Adekoya Feranmi,5 stars,,7 months ago
Pedddytune Paddy,5 stars,,7 months ago
Shittu Abdulfatah,5 stars,,7 months ago
Aderibigbe Feyisayo,5 stars,,9 months ago
Joseph Odey,4 stars,,10 months ago
AKT Real Estate,5 stars,,10 months ago
Official Trylips,5 stars,,a year ago
Sodeeq Aduke,5 stars,,a year ago
Korede Ajayi,5 stars,,a year ago
Goodness Ishang,5 stars,,a year ago
Ajayi Ayomide,5 stars,,a year ago
Calvince calvince perez,5 stars,,a year ago
Adebusola Adebowale,5 stars,,a year ago
Babatunde Maria,5 stars,,a year ago
Kassem Hassan,5 stars,,a year ago
B Banks,5 stars,,2 years ago
Gloria Fredrick,5 stars,,2 years ago
Emmanuel Okose,5 stars,,2 years ago
johnson iyanuoluwa maria,5 stars,,2 years ago
oke ebenezer,5 stars,,2 years ago
Ndifon Blound,5 stars,,2 years ago
